lat,lon,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence
28.563999999999997,77.31599999999993,26,50,179,93,1.0
28.563999999999997,77.33599999999993,27,32,2454,2071,0.976819
28.563999999999997,77.35599999999992,27,32,2454,2071,0.976819
28.563999999999997,77.37599999999992,30,40,1515,1136,1.0
28.583999999999996,76.936,29,29,675,675,1.0
28.583999999999996,76.956,41,41,1005,1005,1.0
28.583999999999996,76.976,25,25,627,627,1.0
28.583999999999996,76.996,30,36,2053,1710,0.98593
28.583999999999996,77.01599999999999,22,26,872,738,0.969038
28.583999999999996,77.03599999999999,35,35,650,650,1.0
28.583999999999996,77.05599999999998,24,32,903,677,0.99893
28.583999999999996,77.07599999999998,29,36,1511,1217,1.0
28.583999999999996,77.09599999999998,23,36,1922,1228,0.995712
28.583999999999996,77.11599999999997,20,38,809,425,1.0
28.583999999999996,77.13599999999997,8,39,2033,417,0.979143
28.583999999999996,77.15599999999996,2,58,3571,123,1.0
28.583999999999996,77.17599999999996,31,47,588,388,1.0
28.583999999999996,77.19599999999996,27,37,699,510,1.0
28.583999999999996,77.21599999999995,33,45,241,176,1.0
28.583999999999996,77.23599999999995,47,53,465,413,0.996878
28.583999999999996,77.25599999999994,47,53,465,413,0.996878
28.583999999999996,77.27599999999994,60,60,220,220,1.0
28.583999999999996,77.29599999999994,32,39,566,464,1.0
28.583999999999996,77.31599999999993,27,32,2454,2071,0.976819
28.583999999999996,77.33599999999993,20,30,1410,940,0.982749
28.583999999999996,77.35599999999992,33,39,987,835,1.0
28.583999999999996,77.37599999999992,30,40,1515,1136,1.0
28.603999999999996,76.936,27,34,2868,2277,0.963281
28.603999999999996,76.956,27,34,2868,2277,0.963281
28.603999999999996,76.976,43,43,958,958,1.0
28.603999999999996,76.996,26,26,324,324,1.0
28.603999999999996,77.01599999999999,35,35,355,355,1.0
28.603999999999996,77.03599999999999,24,28,1002,859,0.997523
28.603999999999996,77.05599999999998,23,36,1922,1228,0.995712
28.603999999999996,77.07599999999998,20,32,541,338,1.0
28.603999999999996,77.09599999999998,19,19,46,46,1.0
28.603999999999996,77.11599999999997,29,35,809,670,1.0
28.603999999999996,77.13599999999997,8,39,2033,417,0.979143
28.603999999999996,77.15599999999996,28,50,209,117,1.0
28.603999999999996,77.17599999999996,15,31,539,260,1.0
28.603999999999996,77.19599999999996,41,41,84,84,1.0
28.603999999999996,77.21599999999995,25,30,899,749,0.996396
28.603999999999996,77.23599999999995,29,39,641,477,1.0
28.603999999999996,77.25599999999994,50,50,202,202,1.0
28.603999999999996,77.27599999999994,50,50,78,78,1.0
28.603999999999996,77.29599999999994,38,47,1277,1033,0.999666
28.603999999999996,77.31599999999993,19,26,517,378,0.976335
28.603999999999996,77.33599999999993,23,27,411,350,0.991764
28.603999999999996,77.35599999999992,31,31,445,445,1.0
28.603999999999996,77.37599999999992,10,35,143,41,1.0
28.623999999999995,76.936,32,32,568,568,1.0
28.623999999999995,76.956,32,32,568,568,1.0
